mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.039727306365966795,0.001777991495410763,0.009847879409790039,0.0013040670982483256,3,sqrt,3,25,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 25}",0.6111111111111112,0.3888888888888889,0.4444444444444444,0.4117647058823529,0.5882352941176471,0.48888888888888893,0.09244612277777352,105
0.07473735809326172,0.0025978004022004773,0.01694488525390625,0.0010868553123043344,3,sqrt,3,50,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 50}",0.5555555555555556,0.5,0.5,0.47058823529411764,0.6470588235294118,0.534640522875817,0.06257465958118395,43
0.14200797080993652,0.007527696910154447,0.030130815505981446,0.0007431282976923674,3,sqrt,3,100,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 100}",0.5555555555555556,0.5,0.5555555555555556,0.47058823529411764,0.6470588235294118,0.5457516339869282,0.06032931115929061,23
0.3375096797943115,0.10776767786381293,0.07120289802551269,0.02395835212991887,3,sqrt,3,150,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 150}",0.5555555555555556,0.5,0.5,0.47058823529411764,0.6470588235294118,0.534640522875817,0.06257465958118395,43
0.044479751586914064,0.019660039105646884,0.01037297248840332,0.003313717755066233,3,sqrt,6,25,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 25}",0.5555555555555556,0.5555555555555556,0.3333333333333333,0.47058823529411764,0.6470588235294118,0.5124183006535947,0.10551861997704873,83
0.06961183547973633,0.0022114456790340597,0.015560722351074219,0.0008141407603368933,3,sqrt,6,50,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 50}",0.5555555555555556,0.5,0.3888888888888889,0.4117647058823529,0.6470588235294118,0.5006535947712418,0.09470134903019016,96
0.14560365676879883,0.0030867682206725173,0.030126667022705077,0.0003948568590589262,3,sqrt,6,100,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 100}",0.5555555555555556,0.5,0.5,0.47058823529411764,0.6470588235294118,0.534640522875817,0.06257465958118395,43
0.3458694934844971,0.09982598706793659,0.07221169471740722,0.021144460561911212,3,sqrt,6,150,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 150}",0.5555555555555556,0.5,0.3888888888888889,0.47058823529411764,0.7058823529411765,0.5241830065359477,0.10560360305932086,51
0.04189462661743164,0.0022669187470070232,0.010767078399658203,0.0009672145405296244,3,sqrt,9,25,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 25}",0.5555555555555556,0.5555555555555556,0.4444444444444444,0.47058823529411764,0.7058823529411765,0.54640522875817,0.0913724555153009,16
0.08098320960998535,0.0061359185578453365,0.018744993209838866,0.003635564316058788,3,sqrt,9,50,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 50}",0.5555555555555556,0.5,0.5,0.35294117647058826,0.7058823529411765,0.5228758169934641,0.11356385478482488,69
